Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00281805059644907,0.00130056841626421,0.90172021367832,0,0,0,70.8376486973613,3.5026387525153,-3.09893754296513E-10,0.000336204370109459,2.07462491441494,-7.77501017045212E-10,1.81501039729664,0,0,0,0,0,0,package://fullbot/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullbot/meshes/base_link.STL,,mainstruct-1,main_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link0_up,0.0015235,-9.2098E-05,0.072171,0,0,0,1.1501,0.003053,7.4972E-06,7.8812E-05,0.003154,-4.773E-06,0.001496,0,0,0,0,0,0,package://fullbot/meshes/link0_up.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://fullbot/meshes/link0_up.STL,,baselink-1,base_up_coor,,joint0_up,fixed,0,0,1.2629,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
link1_up,-0.0063511653118558,0.000207381647010473,0.0933560245185359,0,0,0,1.3256364074878,0.00337516344067471,2.91047495398255E-06,0.000390263321422471,0.0039707875530841,-7.74618991821578E-06,0.00211705553045749,0,0,0,0,0,0,package://fullbot/meshes/link1_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link1_up.STL,,link1-1,joint1_up_coor,j1up,joint1_up,revolute,0,0,0.1448,0,0,0,link0_up,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link2_up,-0.164334922175456,-0.0131391380189071,-0.0386527377791693,0,0,0,2.69348731441247,0.00426310623774934,-0.00277535500543395,-0.000798338261530704,0.0150045970572789,0.000100430735697421,0.0156052703291197,0,0,0,0,0,0,package://fullbot/meshes/link2_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link2_up.STL,,link2-1,joint2_up_coor,j2up,joint2_up,revolute,-0.065295,0.00034902,0.122,3.1416,1.5708,0,link1_up,0,0,-1,20,1.5,-2.05,2.09,,,,,,,,
link3_up,0.0790017026576337,-0.0622013013556818,-0.0189186889395293,0,0,0,1.30253510106472,0.00393747848651755,0.00136510222638933,0.00159608028913008,0.00525344165407256,-0.000920518752882782,0.00455361194720345,0,0,0,0,0,0,package://fullbot/meshes/link3_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link3_up.STL,,link3-1,joint3_up_coor,j3up,joint3_up,revolute,-0.2859,-0.053313,-0.0083026,0,0,0,link2_up,0,0,-1,20,1.5,-3.92,0.19,,,,,,,,
link4_up,0.0321807687354634,-0.00025917554824062,0.107627187331175,0,0,0,0.789560351493029,0.00404949168648296,-3.36598707087041E-06,-0.00099079876639351,0.00449572325717299,-2.2965154074987E-06,0.00105175547833875,0,0,0,0,0,0,package://fullbot/meshes/link4_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link4_up.STL,,link4-1,joint4_up_coor,j4up,joint4_up,revolute,0.15917,-0.077751,-0.057495,0,1.5708,0,link3_up,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link5_up,0.0467464429721704,-0.00940639676845523,-0.0231013060407902,0,0,0,0.723051769580643,0.000793027726972335,0.000197964210793357,-0.000254464226983087,0.00148592083068407,5.97819367646225E-05,0.00164704279225573,0,0,0,0,0,0,package://fullbot/meshes/link5_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link5_up.STL,,link5-1,joint5_up_coor,j5up,joint5_up,revolute,0.014748,-0.00043612,0.183,-1.5708,0,-1.5708,link4_up,0,0,1,20,1.5,-1.69,3.14,,,,,,,,
link6_up,-0.00127764071195329,7.89251108912481E-09,0.0348924628163476,0,0,0,0.240703496519078,0.000111819933042724,1.06441768274538E-12,3.17569406177314E-07,0.000124185578330655,-2.44652552338508E-11,0.000199479046718238,0,0,0,0,0,0,package://fullbot/meshes/link6_up.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullbot/meshes/link6_up.STL,,link6endef-1,joint6_up_coor,j6up,joint6_up,revolute,0.075873,-0.058524,-0.014339,1.5708,1.5708,0,link5_up,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link0_right,0.00152352214909268,-9.20950558262901E-05,0.0721709833940649,0,0,0,1.15012354839417,0.00305297729491234,7.49727624531085E-06,7.8811653611199E-05,0.00315399502526908,-4.77312392810153E-06,0.00149595458411752,0,0,0,0,0,0,package://fullbot/meshes/link0_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link0_right.STL,,baselink-2,base_right_coor,Axis_joint0_right,joint0_right,fixed,0,0.262500000000021,0.808253175473089,3.14159265358979,-1.04719755119661,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
link1_right,-0.00635141038711484,0.000207534921337451,0.0933560223181532,0,0,0,1.32562534805268,0.0033751569034854,2.90184699872975E-06,0.000390274835452127,0.00397076269428928,-7.74687080996628E-06,0.00211702052844463,0,0,0,0,0,0,package://fullbot/meshes/link1_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link1_right.STL,,link1-2,joint1_right_coor,j1right,joint1_right,revolute,0,0,0.1448,0,0,0,link0_right,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
